noun,gender,number,english
semafor,m,sg,stoplight
semafori,m,pl,stoplights
vogalu,m,sg,corner
vogale,m,pl,corners
park,m,sg,park
parki,m,pl,parks
pločnik,m,sg,sidewalk
pločniki,m,pl,sidewalks
poštni nabiralnik,m,sg,mailbox
poštni nabiralniki,m,pl,mailboxes
frizerski salon,m,sg,hair salon
frizerski saloni,m,pl,hair salons
prehod za pešce,m,sg,crosswalk
prehodi za pešce,m,pl,crosswalks
