noun,gender,number,english
delfin,m,sg,dolphin
delfini,m,pl,dolphins
kit,m,sg,whale
kiti,m,pl,whales
hobotnica,f,sg,octopus
hobotnice,f,pl,octopi
lev,m,sg,lion
levi,m,pl,lions
muha,f,sg,fly
muhe,f,pl,flies
žuželka,f,sg,insect
žuželke,f,pl,insects
zebra,f,sg,zebra
zebre,f,pl,zebras
žirafa,f,sg,giraffe
žirafe,f,pl,giraffes
opica,f,sg,monkey
opice,f,pl,monkies
pajek,m,sg,spider
pajki,m,pl,spiders
