noun,gender,number,english
mama,f,sg,mother
mame,f,pl,mothers
oče,n,sg,father
očetje,n,pl,fathers
brat,m,sg,brother
brati,m,pl,brothers
sestra,f,sg,sister
sestre,f,pl,sisters
sin,m,sg,son
sinovi,m,pl,sons
hčerka,f,sg,daughter
hčere,f,pl,daughters
dedek,m,sg,grandfather
dedki,m,pl,grandfathers
babica,f,sg,grandmother
babice,f,pl,grandmothers
vnuk,m,sg,grandson
vnuki,m,pl,grandsons
vnukinja,f,sg,granddaughter
vnukinje,f,pl,granddaughters
