noun,gender,number,english
obleka,f,sg,dress
obleke,f,pl,dresses
majica,f,sg,shirt
majice,f,pl,shirts
hlaće,n,sg,pants
hlaće,n,pl,pants
kavbojke,n,sg,jeans
kavbojke,n,pl,jeans
pulovar,m,sg,sweater
pulovari,m,pl,sweaters
krilo,n,sg,skirt
krila,n,pl,skirts
očala,f,sg,glasses
očale,f,pl,glasses
čevelj,m,sg,shoe
čevlji,m,pl,shoes
šal,m,sg,scarf
šali,m,pl,scarves
klobuk,m,sg,hat
klobuki,m,pl,hats
