noun,gender,number,english
netopir,m,sg,bat
netopiri,m,pl,bats
ptica,f,sg,bird
ptice,f,pl,birds
koza,f,sg,goat
koze,f,pl,goats
veverica,f,sg,squirrel
veverice,f,pl,squirrels
mravlja,f,sg,ant
mravlje,f,pl,ants
prašič,m,sg,pig
prašiči,m,pl,pigs
kača,f,sg,snake
kače,f,pl,snakes
medved,m,sg,bear
medvedi,m,pl,bears
tiger,m,sg,tiger
tigri,m,pl,tigers
slon,m,sg,elephant
sloni,m,pl,elephants
