noun,gender,number,english
dežnik,m,sg,umbrella
dežniki,m,pl,umbrellas
morje,n,sg,sea
morja,n,pl,seas
gora,f,sg,mountain
gore,f,pl,mountains
gozd,m,sg,forest
gozdi,m,pl,forests
jama,f,sg,cave
jame,f,pl,caves
vino,n,sg,wine
vina,n,pl,wines
jezero,n,sg,lake
jezera,n,pl,lakes
terme,n,sg,spring
terma,n,pl,springs
zmaj,m,sg,dragon
zmaji,m,pl,dragons
poklic,m,sg,profession
poklici,m,pl,professions
