noun,gender,number,english
stric,m,sg,uncle
strici,m,pl,uncles
teta,f,sg,aunt
tete,f,pl,aunts
nečak,m,sg,nephew
nečeki,m,pl,nephews
nečakinja,f,sg,niece
nečakinje,f,pl,nieces
bratranec,m,sg,cousin
brantranci,m,pl,cousins
mož,m,sg,husband
moži,m,pl,husbands
žena,f,sg,wife
žene,f,pl,wives
otrok,m,sg,child
otroci,m,pl,children
starš,m,sg,parent
starši,m,pl,parents
zaročenec,m,sg,fiancé
zaročenci,m,pl,finacés
zaročenka,f,sg,fiancée
zaročenke,f,pl,finacées                                  
