noun,gender,number,english
mačka,f,sg,cat
mačke,f,pl,cats
mucek,m,sg,kitten
mucki,m,pl,kittens
pes,m,sg,dog
psi,m,pl,dogs
mladiček,m,sg,puppy
mladički,m,pl,puppies
ribe,n,sg,fish
riba,n,pl,fishes
konj,m,sg,horse
konji,m,pl,horses
krava,f,sg,cow
krave,f,pl,cows
ovce,n,sg,sheep
ovce,n,pl,sheep
miška,f,sg,mouse
miške,f,pl,mice
morski pes,m,sg,shark
morski psi,m,pl,sharks
