noun,gender,number,english
medved,m,sg,bear
medvedi,m,pl,bears
kava,f,sg,coffee
kave,f,pl,coffees
piškot,m,sg,cookie
piškoti,m,pl,cookies
parkirišče,n,sg,parking lot
parkirišča,n,pl,parking lots
ravija,f,sg,magazine
ravije,f,pl,magazines
naloga,f,sg,assignment
naloge,f,pl,assignments
družina,f,sg,family
družine,f,pl,families
reka,f,sg,river
reke,f,pl,rivers
sporočilo,n,sg,message
sporočila,n,pl,messages
učenec,m,sg,student
učenci,m,pl,students
