noun,gender,number,english
trgovina,f,sg,store
trgovine,f,pl,stores
tržnica,f,sg,market
tržnice,f,pl,market
trg,m,sg,square
trgi,m,pl,squares
pekarna,f,sg,bakery
pekarne,f,pl,bakeries
muzej,m,sg,museum
muzeji,m,pl,museums
kino,n,sg,cinema
kina,n,pl,cinemas
gledališče,n,sg,theater
gledališča,n,pl,theaters
šola,f,sg,school
šole,f,pl,schools
kavarna,f,sg,coffee shop
kavarne,f,pl,coffee shops
