noun,gender,number,english
hiša,f,sg,house
hiše,f,pl,houses
stanovanje,n,sg,apartment
stanovanja,n,pl,apartments
soba,f,sg,room
sobe,f,pl,rooms
stol,m,sp,chair
stoli,m,pl,chairs
miza,f,sg,table
mize,f,pl,tables
postelja,f,sg,bed
postelji,f,pl,beds
omara,f,sg,closet
omare,f,pl,closets
okno,n,sg,window
okne,n,pl,windows
vrata,n,sg,door
vrata,n,pl,doors
slika,f,sg,painting
slike,f,pl,paintings
denarnica,f,sg,wallet
denarnice,f,pl,wallets
knjiga,f,sg,book
knjige,f,pl,books
