noun,gender,number,english
mačeha,f,sg,stepmother
mačehe,f,pl,stepmothers
očim,m,sg,stepfather
očimi,m,pl,stepfathers
polbrat,m,sg,stepbrother
polbrati,m,pl,stepbrothers
polsestra,f,sg,stepsister
polsestre,f,pl,stepsisters
fant,m,sg,boyfriend
fanti,m,pl,boyfriends
punca,f,sg,girlfriend
punce,f,pl,girlfriends
dvojček,m,sg,twin
dvojčka,m,pl,twins
prababica,f,sg,great grandmother
prababice,f,pl,great grandmothers
pradedek,m,sg,great grandfather
pradedki,m,pl,great grandfathers
