noun,gender,number,english
nogavica,f,sg,sock
nogavice,f,pl,socks
halja,f,sg,robe
halje,f,pl,robes
ogrlica,f,sg,necklace
orglice,f,pl,necklaces
uhan,m,sg,earring
uhani,m,pl,earrings
rokavica,f,sg,mitten
rokavice,f,pl,mittens
škorenj,m,sg,boot
škornji,m,pl,boots
prstana,f,sg,ring
prstane,f,pl,rings
pasu,m,sg,belt
pasov,m,pl,belts
spodnje perilo,n,sg,underwear
spodnje perilo,n,pl,underwear
predpasnik,m,sg,apron
predpasniki,m,pl,aprons
